title,release_date_meta,year,rating_metacritic
to rome with love,2012-06-22,2012,54
slender man,2018-08-10,2018,30
i am love,2010-06-18,2010,79
sanctum,2011-02-04,2011,42
alpha dog,2007-01-12,2007,53
green inferno,2015-09-25,2015,38
saturday night fever,1977-12-16,1977,77
this is spinal tap,1984-03-02,1984,92
world is not enough,1999-11-19,1999,57
paranormal activity the ghost dimension,2015-10-23,2015,30
meyerowitz stories new and selected,2017-10-13,2017,79
american honey,2016-09-30,2016,79
away from her,2007-05-04,2007,88
proposition,2006-05-05,2006,73
office christmas party,2016-12-09,2016,42
tootsie,1982-12-17,1982,88
maps to the stars,2015-02-27,2015,67
trouble with the curve,2012-09-21,2012,58
mothers day,2016-04-29,2016,18
war of the roses,1989-12-01,1989,79
spy kids all the time in the world,2011-08-19,2011,37
endless,2018-04-06,2018,80
notting hill,1999-05-28,1999,68
bone collector,1999-11-05,1999,45
north country,2005-10-14,2005,68
cheaper by the dozen 2,2005-12-21,2005,34
open water,2004-08-06,2004,63
soloist,2009-04-24,2009,61
beautiful boy,2018-10-12,2018,62
yi yi,2000-10-06,2000,93
look of silence,2015-07-17,2015,92
ghost in the shell 2 innocence,2004-09-17,2004,66
chloe,2010-03-26,2010,48
intolerable cruelty,2003-10-10,2003,71
race to witch mountain,2009-03-13,2009,52
witness,1985-02-08,1985,76
ip man 2,2011-01-28,2011,67
city of ember,2008-10-10,2008,58
tooth fairy,2010-01-22,2010,36
kramer vs kramer,1979-12-19,1979,77
sex lies and videotape,1989-08-04,1989,86
strangers prey at night,2018-03-09,2018,48
star trek iv the voyage home,1986-11-26,1986,71
danny collins,2015-03-20,2015,58
friday night lights,2004-10-08,2004,70
home on the range,2004-04-02,2004,50
smallfoot,2018-09-28,2018,60
secrets lies,1996-09-27,1996,91
queen of katwe,2016-09-23,2016,73
nutty professor,1996-06-28,1996,62
hoosiers,1986-11-14,1986,76
jesus camp,2006-09-22,2006,62
crimes and misdemeanors,1989-10-13,1989,77
your sisters sister,2012-06-15,2012,72
in her shoes,2005-10-07,2005,60
planet of the apes,1968-04-03,1968,79
operation finale,2018-08-29,2018,58
waiting for superman,2010-09-24,2010,81
little men,2016-08-05,2016,86
sixteen candles,1984-05-04,1984,61
george of the jungle,1997-07-16,1997,53
stories we tell,2013-05-10,2013,91
little women,1994-12-21,1994,87
sophie scholl the final days,2006-02-17,2006,76
freedomland,2006-02-17,2006,43
showtime,2002-03-15,2002,32
poetry,2011-02-11,2011,87
eating out,2005-04-08,2005,28
wonder boys,2000-02-25,2000,73
congress,2014-08-29,2014,63
russian ark,2002-11-29,2002,86
mighty wind,2003-04-16,2003,81
repo man,1984-03-02,1984,75
cadillac records,2008-12-05,2008,65
overnight,2015-06-19,2015,65
7 days in entebbe,2018-03-16,2018,49
brothers,2005-05-06,2005,76
tsotsi,2006-02-24,2006,70
k19 the widowmaker,2002-07-19,2002,58
whos your caddy,2007-07-27,2007,18
from russia with love,1964-05-27,1964,85
corporation,2004-06-04,2004,73
wienerdog,2016-06-24,2016,66
art school confidential,2006-05-05,2006,54
other side of the door,2016-03-04,2016,41
assassination nation,2018-09-21,2018,56
dirty harry,1971-12-23,1971,90
last days in vietnam,2014-09-05,2014,86
tekkon kinkurito,2007-07-13,2007,65
i smile back,2015-10-23,2015,59
then she found me,2008-04-25,2008,56
madeas witness protection,2012-06-29,2012,42
rock the kasbah,2015-10-23,2015,29
bambi,1942-08-21,1942,91
marjorie prime,2017-08-18,2017,82
faults,2015-03-06,2015,70
villainess,2017-08-25,2017,64
chimpanzee,2012-04-20,2012,57
eraserhead,1978-02-03,1978,87
tom at the farm,2015-08-14,2015,67
my flesh and blood,2003-11-28,2003,78
harts war,2002-02-15,2002,49
mark felt the man who brought down the white house,2017-09-29,2017,49
atanarjuat the fast runner,2002-06-07,2002,91
monster,2016-11-11,2016,69
broadcast news,1987-12-16,1987,84
judy,2019-09-27,2019,66
quick change,1990-07-13,1990,56
square,2013-10-25,2013,84
george washington,2000-10-27,2000,82
11th hour,2007-08-17,2007,63
adult world,2014-02-14,2014,61
towelhead,2008-09-12,2008,57
in the land of women,2007-04-20,2007,47
city of life and death,2011-05-11,2011,85
reprise,2008-05-16,2008,79
detective dee and the mystery of the phantom flame,2011-09-02,2011,75
becket rerelease,2007-01-26,2007,68
being julia,2004-10-15,2004,65
midnight in the garden of good and evil,1997-11-21,1997,57
jumping the broom,2011-05-06,2011,56
kite,2014-10-10,2014,19
theeb,2015-11-06,2015,80
wild rose,2019-06-21,2019,80
bigger stronger faster,2008-05-30,2008,80
guernsey literary and potato peel pie society,2018-08-10,2018,65
them,2007-08-17,2007,60
lottery ticket,2010-08-20,2010,50
burying the ex,2015-06-19,2015,37
taxidermia,2009-08-14,2009,83
thin blue line,1988-09-01,1988,79
bridge,2006-10-27,2006,58
bus 174,2003-10-08,2003,83
wolfpack,2015-06-12,2015,75
new girlfriend,2015-09-18,2015,74
schultze gets the blues,2005-02-18,2005,67
goat,2016-09-23,2016,64
rock star,2001-09-07,2001,54
rebel without a cause,1955-10-29,1955,87
barbershop,2002-09-13,2002,66
anesthesia,2016-01-08,2016,55
metal a headbangers journey,2006-04-14,2006,73
pusher iii im the angel of death,2006-08-18,2006,72
off the map,2005-03-11,2005,68
pecker,1998-09-25,1998,66
citadel,2012-11-09,2012,60
welcome home roscoe jenkins,2008-02-08,2008,46
star is born,1954-10-16,1954,89
american factory,2019-08-21,2019,86
starlet,2012-11-09,2012,74
dahmer,2002-06-21,2002,63
jesus son,2000-06-16,2000,76
hell baby,2013-09-06,2013,41
submergence,2018-04-13,2018,38
memory of a killer,2005-08-26,2005,73
my cousin vinny,1992-03-13,1992,68
paradise love,2013-04-26,2013,65
foot fist way,2008-05-30,2008,63
sex is comedy,2004-10-20,2004,63
killing ground,2017-07-21,2017,59
our daily bread,2006-11-24,2006,86
dinner rush,2001-09-28,2001,79
zero day,2003-08-03,2003,69
zombie honeymoon,2005-10-04,2005,63
return to sender,2015-08-14,2015,23
mademoiselle chambon,2010-05-28,2010,82
east is east,2000-04-14,2000,74
brothers of the head,2006-07-28,2006,67
tales of the rat fink,2006-10-06,2006,67
we jam econo the story of the minutemen,2005-08-26,2005,66
biggie and tupac,2002-09-27,2002,63
goodbye to all that,2014-12-17,2014,62
among ravens,2014-07-18,2014,8
riding alone for thousands of miles,2006-09-01,2006,73
kids,1995-09-01,1995,63
department q the keeper of lost causes,2016-06-17,2016,62
dying gaul,2005-11-04,2005,62
ordeal,2006-08-11,2006,52
since otar left,2004-04-30,2004,85
ninth day,2005-05-27,2005,67
me without you,2002-07-05,2002,67
and they lived happily ever after,2005-04-08,2005,58
baby boom,1987-10-07,1987,53
girlhood,2003-10-29,2003,69
romantics anonymous,2011-11-25,2011,69
kill switch,2017-06-16,2017,31
cafe lumiere,2005-06-10,2005,80
bugsy,1991-12-20,1991,80
stephanie daley,2007-04-20,2007,77
teacher,2017-08-30,2017,77
lovely amazing,2002-06-28,2002,75
still mine,2013-07-12,2013,72
canvas,2007-10-12,2007,67
elstree 1976,2016-05-06,2016,66
animal factory,2000-10-13,2000,65
red,2008-08-08,2008,61
throw momma from the train,1987-12-11,1987,56
right stuff,1983-10-21,1983,91
genius within the inner life of glenn gould,2010-09-10,2010,72
petit lieutenant,2006-09-08,2006,71
delirious,2007-08-15,2007,68
two girls and a guy,1998-04-24,1998,66
ones below,2016-05-27,2016,63
piercing,2019-02-01,2019,63
love at first fight,2015-05-22,2015,63
front line,2012-01-20,2012,59
beyond outrage,2014-01-03,2014,53
madame bovary,2015-06-12,2015,52
night in old mexico,2014-05-16,2014,45
being there,1979-12-19,1979,84
november,2018-02-23,2018,79
island president,2012-03-28,2012,72
mozarts sister,2011-08-19,2011,71
viva,2016-04-29,2016,69
blue thunder,1983-05-13,1983,66
arrival,1996-05-31,1996,56
critters,1986-04-11,1986,52
sudden impact,1983-12-09,1983,52
army of crime,2010-08-20,2010,76
mc5 a true testimonial,2004-04-23,2004,75
holy girl,2005-04-29,2005,75
wolf man,1941-12-12,1941,72
zero motivation,2014-12-03,2014,69
major league,1989-04-07,1989,62
barrymore,2012-11-14,2012,61
lowriders,2017-05-12,2017,57
good boy,2003-10-10,2003,49
hotel noir,2012-10-12,2012,37
persona,1967-03-16,1967,86
breaker upperers,2019-02-15,2019,76
augustine,2013-05-17,2013,74
paul williams still alive,2012-06-08,2012,72
roving mars,2006-01-27,2006,58
sun choke,2016-08-05,2016,58
stepford wives,1975-02-12,1975,54
tell it to the bees,2019-05-03,2019,50
wolves,2017-03-03,2017,46
dolores,2017-09-01,2017,81
unbearable lightness of being,1988-02-05,1988,73
obit,2017-04-26,2017,72
pure,2005-06-17,2005,70
birth of the living dead,2013-10-18,2013,65
body snatchers,1994-01-14,1994,65
town is quiet,2001-10-26,2001,65
new york new york,1977-06-21,1977,62
noise,2008-05-09,2008,55
cadillac man,1990-05-18,1990,50
3 generations,2017-05-05,2017,47
living wake,2010-05-14,2010,37
logan,2017-03-03,2017,77
inside out,2015-06-19,2015,94
wolf of wall street,2013-12-25,2013,75
hateful eight,2015-12-25,2015,68
king kong,2005-12-14,2005,81
superman returns,2006-06-28,2006,72
alien covenant,2017-05-19,2017,65
fantastic beasts and where to find them,2016-11-18,2016,66
schindlers list,1993-12-15,1993,94
twilight,2008-11-21,2008,56
once upon a time in hollywood,2019-07-26,2019,83
history of violence,2005-09-23,2005,81
mother,2017-09-15,2017,75
reservoir dogs,1992-10-01,1992,79
gran torino,2008-12-12,2008,72
zodiac,2007-03-02,2007,78
hell or high water,2016-08-12,2016,88
jurassic world fallen kingdom,2018-06-22,2018,51
moneyball,2011-09-23,2011,87
artist,2011-11-23,2011,89
gift,2015-08-07,2015,77
apocalypto,2006-12-08,2006,68
twilight saga eclipse,2010-06-30,2010,58
halloween,1978-10-25,1978,81
descendants,2011-11-16,2011,84
40 year old virgin,2005-08-19,2005,73
shrek the third,2007-05-18,2007,58
bourne identity,2002-06-14,2002,68
donnie darko,2001-10-26,2001,71
pianist,2002-12-27,2002,85
mama,2013-01-18,2013,57
bird box,2018-12-14,2018,51
inherent vice,2014-12-12,2014,81
crazy stupid love,2011-07-29,2011,68
pursuit of happyness,2006-12-15,2006,64
visit,2015-09-11,2015,55
shrek forever after,2010-05-21,2010,58
letters from iwo jima,2006-12-20,2006,89
pitch perfect,2012-09-28,2012,66
puss in boots,2011-10-28,2011,65
madagascar 3 europes most wanted,2012-06-08,2012,60
enchanted,2007-11-21,2007,75
green room,2016-04-15,2016,79
bad teacher,2011-06-24,2011,47
white house down,2013-06-28,2013,52
katy perry part of me,2012-07-05,2012,57
valkyrie,2008-12-25,2008,56
train to busan,2016-07-22,2016,72
searching,2018-08-24,2018,71
skyline,2010-11-12,2010,26
half nelson,2006-08-11,2006,85
day the earth stood still,2008-12-12,2008,40
allied,2016-11-23,2016,60
still alice,2014-12-05,2014,72
alone in the dark,2005-01-28,2005,9
hunt,2013-07-12,2013,77
education,2009-10-09,2009,85
take shelter,2011-09-30,2011,85
fast furious presents hobbs shaw,2019-08-01,2019,60
princess bride,1987-09-25,1987,77
iron lady,2011-12-30,2011,54
mortdecai,2015-01-23,2015,27
leaving las vegas,1995-10-27,1995,82
lemony snickets a series of unfortunate events,2004-12-17,2004,62
mr peabody sherman,2014-03-07,2014,59
zoolander 2,2016-02-12,2016,34
me and earl and the dying girl,2015-06-12,2015,74
horton hears a who,2008-03-14,2008,71
nymphomaniac volume i,2014-03-21,2014,64
jobs,2013-08-16,2013,44
batman returns,1992-06-19,1992,68
julie julia,2009-08-07,2009,66
drugstore cowboy,1989-10-06,1989,82
hours,2002-12-27,2002,80
popstar never stop never stopping,2016-06-03,2016,68
triple frontier,2019-03-06,2019,61
ice age collision course,2016-07-22,2016,34
walk among the tombstones,2014-09-19,2014,57
good night and good luck,2005-10-07,2005,80
goosebumps,2015-10-16,2015,60
raw,2017-03-10,2017,81
paper towns,2015-07-24,2015,56
untouchables,1987-06-03,1987,79
hostiles,2017-12-22,2017,65
high school musical 3 senior year,2008-10-24,2008,57
commuter,2018-01-12,2018,56
last king of scotland,2006-09-27,2006,74
hannah montana the movie,2009-04-10,2009,47
halloween resurrection,2002-07-12,2002,19
project almanac,2015-01-30,2015,47
bronx tale,1993-09-23,1993,80
high fidelity,2000-03-31,2000,79
jackass number two,2006-09-22,2006,66
tag,2018-06-15,2018,56
mirror mirror,2012-03-30,2012,46
jonah hex,2010-06-18,2010,33
days of heaven,1978-09-13,1978,93
concussion,2015-12-25,2015,55
holes,2003-04-18,2003,71
mad max beyond thunderdome,1985-07-10,1985,71
my summer of love,2005-06-17,2005,82
primer,2004-10-08,2004,68
fun with dick and jane,2005-12-21,2005,47
blockers,2018-04-06,2018,69
mr poppers penguins,2011-06-17,2011,53
i am mother,2019-06-07,2019,64
shoplifters,2018-11-23,2018,93
rum diary,2011-10-28,2011,56
finest hours,2016-01-29,2016,58
brawl in cell block 99,2017-10-06,2017,79
diary of a wimpy kid,2010-03-19,2010,56
people vs larry flynt,1996-12-25,1996,79
hot tub time machine 2,2015-02-20,2015,29
air force one,1997-07-25,1997,61
stigmata,1999-09-10,1999,28
patton,1970-02-18,1970,91
infiltrator,2016-07-13,2016,66
end of the tour,2015-07-31,2015,82
when marnie was there,2015-05-22,2015,72
transporter 3,2008-11-26,2008,51
darkness falls,2003-01-24,2003,23
bridget joness baby,2016-09-16,2016,59
pirate radio,2009-11-13,2009,58
signal,2014-06-13,2014,54
nut job,2014-01-17,2014,37
eagle,2011-02-11,2011,55
road trip,2000-05-19,2000,55
clouds of sils maria,2015-04-10,2015,78
whiskey tango foxtrot,2016-03-04,2016,57
astro boy,2009-10-23,2009,53
senna,2011-08-12,2011,79
akeelah and the bee,2006-04-28,2006,72
belko experiment,2017-03-17,2017,44
step up revolution,2012-07-27,2012,43
before i fall,2017-03-03,2017,58
tell no one,2008-07-02,2008,82
max steel,2016-10-14,2016,22
devils due,2014-01-17,2014,34
sexy beast,2001-06-13,2001,79
under the shadow,2016-10-07,2016,84
illusionist,2010-12-25,2010,82
space chimps,2008-07-18,2008,36
swimfan,2002-09-06,2002,29
salmon fishing in the yemen,2012-03-09,2012,58
wildlife,2018-10-19,2018,80
love,2015-10-30,2015,51
fish tank,2010-01-15,2010,81
ladykillers,2004-03-26,2004,56
no,2013-02-15,2013,81
grandma,2015-08-21,2015,77
summer wars,2010-12-29,2010,63
dumb and dumberer when harry met lloyd,2003-06-13,2003,19
better watch out,2017-10-06,2017,67
destroyer,2018-12-25,2018,62
twisted,2004-02-27,2004,26
no end in sight,2007-07-27,2007,89
boy and the beast,2015-12-04,2015,65
seeker the dark is rising,2007-10-05,2007,38
farewell,2019-07-12,2019,89
experimenter,2015-10-16,2015,81
beyond the lights,2014-11-14,2014,73
for your consideration,2006-11-17,2006,68
fast food nation,2006-11-17,2006,64
nights in rodanthe,2008-09-26,2008,39
inspector gadget,1999-07-23,1999,36
unfriended dark web,2018-07-20,2018,53
chungking express,1996-03-08,1996,77
proof,2005-09-16,2005,64
white god,2015-03-27,2015,80
paradise now,2005-10-28,2005,71
smashed,2012-10-12,2012,71
bad batch,2017-06-23,2017,62
little princess,1995-05-20,1995,83
good the bad the weird,2010-04-23,2010,69
fame,2009-09-25,2009,39
33,2015-11-13,2015,55
day watch,2007-06-01,2007,59
valiant,2005-08-19,2005,45
rainmaker,1997-11-21,1997,72
late quartet,2012-11-02,2012,67
sound of my voice,2012-04-27,2012,67
alex strangelove,2018-06-08,2018,62
shorts,2009-08-21,2009,53
brideshead revisited,2008-07-25,2008,64
big game,2015-06-26,2015,53
kedi,2017-02-10,2017,78
way,2011-10-07,2011,64
larry the cable guy health inspector,2006-03-24,2006,21
black cat white cat,1999-09-10,1999,73
inconvenient sequel truth to power,2017-07-28,2017,68
flicka,2006-10-20,2006,57
summer catch,2001-08-24,2001,21
water,2006-04-28,2006,77
what happened miss simone,2015-06-24,2015,75
gods not dead a light in darkness,2018-03-30,2018,33
warlords,2010-04-02,2010,70
big bad wolves,2014-01-17,2014,64
perfect day,2016-01-15,2016,60
unforgettable,2017-04-21,2017,45
in america,2003-11-26,2003,76
morris from america,2016-08-19,2016,75
happy end,2017-12-22,2017,72
millennium actress,2003-09-12,2003,70
american president,1995-11-17,1995,67
deathgasm,2015-10-02,2015,65
west side story,1961-12-13,1961,86
last train home,2010-09-03,2010,86
blue caprice,2013-09-13,2013,76
limey,1999-10-08,1999,73
road,2012-05-11,2012,71
girlfriend experience,2009-05-22,2009,66
i give it a year,2013-08-09,2013,50
little stranger,2018-08-31,2018,67
man who invented christmas,2017-11-22,2017,60
skiptrace,2016-09-02,2016,50
mean creek,2004-08-20,2004,74
woodsman,2004-12-24,2004,72
downton abbey,2019-09-20,2019,64
2 days in new york,2012-08-10,2012,61
trust,2016-05-13,2016,58
cj7,2008-03-07,2008,46
chandni chowk to china,2009-01-16,2009,44
win it all,2017-04-07,2017,77
hero,2017-06-09,2017,61
under suspicion,2000-09-22,2000,43
project nim,2011-07-08,2011,83
shattered glass,2003-10-31,2003,73
100yearold man who climbed out the window and disappeared,2015-05-08,2015,58
how to eat fried worms,2006-08-25,2006,56
delgo,2008-12-12,2008,27
ilo ilo,2014-04-04,2014,85
prayer before dawn,2018-08-10,2018,76
dheepan,2016-05-06,2016,76
frantz,2017-03-15,2017,73
cat in paris,2012-06-01,2012,63
sapphires,2013-03-22,2013,67
three extremes,2005-10-28,2005,66
umbrellas of cherbourg rereleased,2004-02-13,2004,86
blazing saddles,1974-02-07,1974,73
hamlet,1991-01-18,1991,53
fat girl,2001-10-10,2001,77
edukators,2005-07-22,2005,68
patti cake,2017-08-18,2017,67
mascots,2016-10-13,2016,57
midnight cowboy,1969-05-25,1969,79
poohs heffalump movie,2005-02-11,2005,64
meru,2015-08-14,2015,77
croupier,2000-04-21,2000,75
active measures,2018-08-31,2018,68
tragedy girls,2017-10-20,2017,58
freddys dead the final nightmare,1991-09-13,1991,39
songs from the second floor,2002-07-03,2002,76
attack,2013-06-21,2013,74
rec,2007-11-23,2007,69
gay sex in the 70s,2005-11-04,2005,65
10 years,2012-09-14,2012,61
goon last of the enforcers,2017-09-01,2017,48
rolling thunder revue a bob dylan story by martin scorsese,2019-06-12,2019,86
titus,1999-12-25,1999,57
dont knock twice,2017-02-03,2017,45
up the yangtze,2008-04-25,2008,84
princess and the warrior,2001-06-22,2001,64
no way out,1987-08-14,1987,77
kurt cobain about a son,2007-10-03,2007,69
league of ordinary gentlemen,2005-05-27,2005,66
good doctor,2012-08-31,2012,52
wrinkles,2014-07-04,2014,81
fearless freaks,2005-05-27,2005,78
mediterranea,2015-11-20,2015,77
amreeka,2009-09-04,2009,73
sun is also a star,2019-05-17,2019,52
boulevard,2015-07-10,2015,52
gueros,2015-05-20,2015,77
great mouse detective,1986-07-02,1986,73
why dont you play in hell,2014-11-07,2014,68
mammoth,2009-11-20,2009,51
carnage park,2016-07-01,2016,48
arnas children,2004-10-08,2004,73
never say never again,1983-10-07,1983,68
yellow handkerchief,2010-02-26,2010,62
wahwah,2006-05-12,2006,61
lavender,2017-03-03,2017,46
basmati blues,2018-02-09,2018,30
casting jonbenet,2017-04-28,2017,74
five fingers for marseilles,2018-09-07,2018,73
attenberg,2012-03-09,2012,73
god grew tired of us,2007-01-12,2007,72
more than honey,2013-06-12,2013,70
divided we fall,2001-06-08,2001,69
shall we dance,1997-04-11,1997,68
time to leave,2006-07-14,2006,67
phenom,2016-06-24,2016,66
or,2005-06-01,2005,64
gainsbourg a heroic life,2011-08-31,2011,58
